2017-10-07 15:25:14 status half-configured base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 status half-installed base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 status half-installed base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:14 upgrade base-passwd:armhf 3.5.39 3.5.39
2017-10-07 15:25:14 status half-configured base-passwd:armhf 3.5.39
2017-10-07 15:25:14 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:14 status half-installed base-passwd:armhf 3.5.39
2017-10-07 15:25:14 status half-installed base-passwd:armhf 3.5.39
2017-10-07 15:25:14 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:14 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:14 install bash:armhf <none> 4.3-14ubuntu1
2017-10-07 15:25:14 status half-installed bash:armhf 4.3-14ubuntu1
2017-10-07 15:25:15 status unpacked bash:armhf 4.3-14ubuntu1
2017-10-07 15:25:15 status unpacked bash:armhf 4.3-14ubuntu1
2017-10-07 15:25:15 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2017-10-07 15:25:15 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2017-10-07 15:25:15 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-10-07 15:25:15 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-10-07 15:25:15 install coreutils:armhf <none> 8.25-2ubuntu2
2017-10-07 15:25:15 status half-installed coreutils:armhf 8.25-2ubuntu2
2017-10-07 15:25:15 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-10-07 15:25:15 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-10-07 15:25:15 install dash:armhf <none> 0.5.8-2.1ubuntu2
2017-10-07 15:25:15 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2017-10-07 15:25:16 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-10-07 15:25:16 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-10-07 15:25:16 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-10-07 15:25:16 status half-configured debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 status half-installed debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 status half-installed debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:16 install debianutils:armhf <none> 4.7
2017-10-07 15:25:16 status half-installed debianutils:armhf 4.7
2017-10-07 15:25:17 status unpacked debianutils:armhf 4.7
2017-10-07 15:25:17 status unpacked debianutils:armhf 4.7
2017-10-07 15:25:17 install diffutils:armhf <none> 1:3.3-3
2017-10-07 15:25:17 status half-installed diffutils:armhf 1:3.3-3
2017-10-07 15:25:17 status unpacked diffutils:armhf 1:3.3-3
2017-10-07 15:25:17 status unpacked diffutils:armhf 1:3.3-3
2017-10-07 15:25:17 upgrade dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-10-07 15:25:17 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:17 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:17 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:17 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:18 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:18 install e2fslibs:armhf <none> 1.42.13-1ubuntu1
2017-10-07 15:25:18 status half-installed e2fslibs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 install e2fsprogs:armhf <none> 1.42.13-1ubuntu1
2017-10-07 15:25:18 status half-installed e2fsprogs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:18 install findutils:armhf <none> 4.6.0+git+20160126-2
2017-10-07 15:25:18 status half-installed findutils:armhf 4.6.0+git+20160126-2
2017-10-07 15:25:19 status unpacked findutils:armhf 4.6.0+git+20160126-2
2017-10-07 15:25:19 status unpacked findutils:armhf 4.6.0+git+20160126-2
2017-10-07 15:25:19 install gcc-6-base:armhf <none> 6.0.1-0ubuntu1
2017-10-07 15:25:19 status half-installed gcc-6-base:armhf 6.0.1-0ubuntu1
2017-10-07 15:25:19 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2017-10-07 15:25:19 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2017-10-07 15:25:19 install grep:armhf <none> 2.24-1
2017-10-07 15:25:19 status half-installed grep:armhf 2.24-1
2017-10-07 15:25:19 status unpacked grep:armhf 2.24-1
2017-10-07 15:25:19 status unpacked grep:armhf 2.24-1
2017-10-07 15:25:19 install gzip:armhf <none> 1.6-4ubuntu1
2017-10-07 15:25:19 status half-installed gzip:armhf 1.6-4ubuntu1
2017-10-07 15:25:19 status unpacked gzip:armhf 1.6-4ubuntu1
2017-10-07 15:25:19 status unpacked gzip:armhf 1.6-4ubuntu1
2017-10-07 15:25:19 install hostname:armhf <none> 3.16ubuntu2
2017-10-07 15:25:19 status half-installed hostname:armhf 3.16ubuntu2
2017-10-07 15:25:19 status unpacked hostname:armhf 3.16ubuntu2
2017-10-07 15:25:19 status unpacked hostname:armhf 3.16ubuntu2
2017-10-07 15:25:19 install init:armhf <none> 1.29ubuntu1
2017-10-07 15:25:19 status half-installed init:armhf 1.29ubuntu1
2017-10-07 15:25:20 status unpacked init:armhf 1.29ubuntu1
2017-10-07 15:25:20 status unpacked init:armhf 1.29ubuntu1
2017-10-07 15:25:20 install init-system-helpers:all <none> 1.29ubuntu1
2017-10-07 15:25:20 status half-installed init-system-helpers:all 1.29ubuntu1
2017-10-07 15:25:20 status unpacked init-system-helpers:all 1.29ubuntu1
2017-10-07 15:25:20 status unpacked init-system-helpers:all 1.29ubuntu1
2017-10-07 15:25:20 install initscripts:armhf <none> 2.88dsf-59.3ubuntu2
2017-10-07 15:25:20 status half-installed initscripts:armhf 2.88dsf-59.3ubuntu2
2017-10-07 15:25:20 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
